solver,package,abstol,reltol,error,time_s,steps,rejects,nf,njacs,newton_iters
"TSRK(""8vr"")",PETScDiffEq,1e-07,1e-04,6.229e-05,6.5851e-04,25,9,442,0,0
"TSRK(""8vr"")",PETScDiffEq,1e-08,1e-05,7.388e-06,7.3059e-04,30,10,520,0,0
"TSRK(""8vr"")",PETScDiffEq,1e-09,1e-06,1.254e-06,9.4886e-04,37,12,637,0,0
"TSRK(""8vr"")",PETScDiffEq,1e-10,1e-07,1.256e-07,9.9701e-04,48,15,819,0,0
"TSRK(""8vr"")",PETScDiffEq,1e-11,1e-08,1.306e-09,1.1835e-03,62,17,1027,0,0
"TSRK(""8vr"")",PETScDiffEq,1e-12,1e-09,1.743e-09,1.3988e-03,80,19,1287,0,0
"TSRK(""8vr"")",PETScDiffEq,1e-13,1e-10,2.197e-10,1.6744e-03,105,21,1638,0,0
"Vern8",OrdinaryDiffEq,1e-06,1e-03,1.780e-03,1.6652e-05,20,3,301,0,0
"Vern8",OrdinaryDiffEq,1e-07,1e-04,4.360e-04,1.7795e-05,23,3,340,0,0
"Vern8",OrdinaryDiffEq,1e-08,1e-05,6.450e-05,1.9377e-05,28,1,379,0,0
"Vern8",OrdinaryDiffEq,1e-09,1e-06,3.300e-06,2.4678e-05,37,2,509,0,0
"Vern8",OrdinaryDiffEq,1e-10,1e-07,2.609e-07,3.4356e-05,51,6,743,0,0
"Vern8",OrdinaryDiffEq,1e-11,1e-08,1.022e-08,4.0709e-05,65,4,899,0,0
"Vern8",OrdinaryDiffEq,1e-12,1e-09,7.026e-10,4.9425e-05,85,0,1107,0,0
"Vern8",OrdinaryDiffEq,1e-13,1e-10,4.519e-11,6.4234e-05,112,0,1458,0,0
"Tsit5",OrdinaryDiffEq,1e-06,1e-03,5.367e-03,1.2956e-05,33,2,213,0,0
"Tsit5",OrdinaryDiffEq,1e-07,1e-04,3.610e-04,1.6132e-05,49,3,315,0,0
"Tsit5",OrdinaryDiffEq,1e-08,1e-05,3.989e-05,2.1742e-05,74,3,465,0,0
"Tsit5",OrdinaryDiffEq,1e-09,1e-06,3.405e-06,3.0689e-05,116,1,705,0,0
"Tsit5",OrdinaryDiffEq,1e-10,1e-07,1.301e-07,4.5327e-05,183,1,1107,0,0
"Tsit5",OrdinaryDiffEq,1e-11,1e-08,4.120e-09,6.9044e-05,289,0,1737,0,0
"Tsit5",OrdinaryDiffEq,1e-12,1e-09,8.636e-11,1.0729e-04,456,0,2739,0,0
"Tsit5",OrdinaryDiffEq,1e-13,1e-10,9.172e-12,1.6673e-04,722,0,4335,0,0
"CVODE_Adams",Sundials,1e-06,1e-03,1.503e-02,8.3251e-05,105,7,215,0,212
"CVODE_Adams",Sundials,1e-07,1e-04,7.925e-04,1.0616e-04,138,8,270,0,267
"CVODE_Adams",Sundials,1e-08,1e-05,1.296e-04,1.5032e-04,199,10,387,0,384
"CVODE_Adams",Sundials,1e-09,1e-06,2.033e-05,1.9723e-04,256,12,469,0,466
"CVODE_Adams",Sundials,1e-10,1e-07,2.090e-06,2.8424e-04,359,18,671,0,668
"CVODE_Adams",Sundials,1e-11,1e-08,1.117e-07,3.4720e-04,439,19,779,0,776
"CVODE_Adams",Sundials,1e-12,1e-09,8.990e-09,4.1226e-04,513,21,855,0,852
"CVODE_Adams",Sundials,1e-13,1e-10,9.375e-10,5.2814e-04,689,18,1076,0,1073
